"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","Software_Bugs","1","1","0","Gandhi' Turns Nuclear: A Bug Transformed into Feature"
"mistral-7b-v0.3","Software_Bugs","1","2","0","Gandhi' Turns Nuclear: Unintended Features in Game Development"
"mistral-7b-v0.3","Software_Bugs","1","3","0","Gandhi' Turns Nuclear: Unintended Features in Game Development"
"mistral-7b-v0.3","Software_Bugs","1","4","0","Gandhi' s Nuclear Ambition: A Bug Turned Feature"
"mistral-7b-v0.3","Software_Bugs","1","5","0","Gandhi' Turns Nuclear: A Bug-Turned-Feature in Civilization Game"
"mistral-7b-v0.3","Software_Bugs","1","6","0","Gandhi' Turns Nuclear: The Unintended Feature in Civ"
"mistral-7b-v0.3","Software_Bugs","1","7","0","Gandhi' s Nuclear Meltdown: A Bug Turned Feature"
"mistral-7b-v0.3","Software_Bugs","1","8","0","Gandhi' Turns Nuclear: Unintended Features in Game Design"
"mistral-7b-v0.3","Software_Bugs","1","9","0","Gandhi' Turns Nuclear: Unintended Features in Game Development"
"mistral-7b-v0.3","Software_Bugs","1","10","0","Gandhi' Turns Nuclear: Unintended Features in Game Development"
"mistral-7b-v0.3","Software_Bugs","2","1","35","Diving Deep: 26 Code Blunders Changing History"
"mistral-7b-v0.3","Software_Bugs","2","2","35","Bugs, Bombs, and Bricks: 26 Infamous Coding Mishaps"
"mistral-7b-v0.3","Software_Bugs","2","3","35","Navigating the Code Iceberg: 27 Infamous Software Bugs"
"mistral-7b-v0.3","Software_Bugs","2","4","35","25 Code Blunders Changing History: From Bricked iPod to Eavesdropping FaceTime"
"mistral-7b-v0.3","Software_Bugs","2","5","35","Bugs Beneath the Surface: 26 Infamous Coding Blunders"
"mistral-7b-v0.3","Software_Bugs","2","6","35","Bugs Beneath the Surface: 26 Code Blunders Changing History"
"mistral-7b-v0.3","Software_Bugs","2","7","35","Navigating the Software Bug Iceberg: 26 Infamous Coding Blunders"
"mistral-7b-v0.3","Software_Bugs","2","8","35","Diving Deep: 26 Code Blunders Changing History"
"mistral-7b-v0.3","Software_Bugs","2","9","35","25 Code Blunders Changing History: From Frozen iPod to Eavesdropping FaceTime"
"mistral-7b-v0.3","Software_Bugs","2","10","35","Bugs That Changed the World: 26 Cases of Code Gone Awry"
"mistral-7b-v0.3","Software_Bugs","3","1","200","Chase ATM Glitch: Unintended Windfall Turns Sour"
"mistral-7b-v0.3","Software_Bugs","3","2","200","Chase ATM Glitch: Deposit Fake Check, Withdraw Real Money"
"mistral-7b-v0.3","Software_Bugs","3","3","200","Chase ATM Glitch: Deposit Fake Check, Withdraw Real Money"
"mistral-7b-v0.3","Software_Bugs","3","4","200","ATM Glitch: Deposit Fake Check, Withdraw Real Money"
"mistral-7b-v0.3","Software_Bugs","3","5","200","ATMs Gone Wild: The Chase Check Glitch"
"mistral-7b-v0.3","Software_Bugs","3","6","200","ATM Glitch, Check Fraud, and Coding Catastrophes"
"mistral-7b-v0.3","Software_Bugs","3","7","200","ATM Glitch: Deposit Fake Check, Withdraw Real Money"
"mistral-7b-v0.3","Software_Bugs","3","8","200","ATM Glitch: Viral Cash Grab or Check Fraud?"
"mistral-7b-v0.3","Software_Bugs","3","9","200","ATM Glitch & Coding Catastrophes: From Check Fraud to Fighter Jet Hypoxia"
"mistral-7b-v0.3","Software_Bugs","3","10","200","ATM Glitch & Banking Chaos: Modern Check Fraud"
"mistral-7b-v0.3","Software_Bugs","4","1","367","Software Blunders: From Bags to Space"
"mistral-7b-v0.3","Software_Bugs","4","2","367","Software Bugs: From Lost Luggage to Space Disasters"
"mistral-7b-v0.3","Software_Bugs","4","3","367","Software Blunders: From Baggage Chaos to Space Disasters"
"mistral-7b-v0.3","Software_Bugs","4","4","367","Software Bugs: From Lost Luggage to Mars Disaster"
"mistral-7b-v0.3","Software_Bugs","4","5","367","Software Bugs: From Lost Luggage to Mars Orbiters"
"mistral-7b-v0.3","Software_Bugs","4","6","367","Software Glitches: From Baggage Chaos to Space Mishaps"
"mistral-7b-v0.3","Software_Bugs","4","7","367","Software Glitches Galore: From Airports to Space"
"mistral-7b-v0.3","Software_Bugs","4","8","367","Software Bugs: From Lost Luggage to Mars Disaster"
"mistral-7b-v0.3","Software_Bugs","4","9","367","Software Glitches: From Airports to Space, Costly Consequences"
"mistral-7b-v0.3","Software_Bugs","4","10","367","Software Glitches: From Airports to Space, Costly Consequences"
"mistral-7b-v0.3","Software_Bugs","5","1","570","Citibank's $9 Billion Blunder & Y2k Panic: UI Mishaps & Financial Fiascoes"
"mistral-7b-v0.3","Software_Bugs","5","2","570","UI Blunders & Critical Bugs: From Citibanks' $9B Oopsie to Knight Capital's $400M Meltdown"
"mistral-7b-v0.3","Software_Bugs","5","3","570","UI Blunders & Y2k Panic: Costly Tech Mishaps"
"mistral-7b-v0.3","Software_Bugs","5","4","570","UI Blunders & Y2k: Costly Cases of Digital Disaster"
"mistral-7b-v0.3","Software_Bugs","5","5","570","UI Blunders & Y2k: Costly Errors in Banking & Tech"
"mistral-7b-v0.3","Software_Bugs","5","6","570","UI Blunders & Y2k: Costly Errors in Tech History"
"mistral-7b-v0.3","Software_Bugs","5","7","570","Citibank's $9 Billion UI Blunder & Y2k Panic"
"mistral-7b-v0.3","Software_Bugs","5","8","570","UI Blunders & Y2k Panic: Costly Tech Mishaps"
"mistral-7b-v0.3","Software_Bugs","5","9","570","UI Blunders & Critical Bugs: From Citibanks' $9B Mistake to Knight Capital's $400M Loss"
"mistral-7b-v0.3","Software_Bugs","5","10","570","Citibank's $9 Billion UI Blunder & Y2k Panic"
"mistral-7b-v0.3","Software_Bugs","6","1","676","Heartbleed Vulnerability and Toyota Acceleration Mishaps: Software Bugs with Deadly Consequences"
"mistral-7b-v0.3","Software_Bugs","6","2","676","Heartbleed Vulnerability and Toyota Acceleration Mishaps: Unseen Threats"
"mistral-7b-v0.3","Software_Bugs","6","3","676","Heartbleed Bug and Toyota Acceleration Crisis: Software Glitches with Deadly Consequences"
"mistral-7b-v0.3","Software_Bugs","6","4","676","Heartbleed Bug and Toyota Acceleration Issues: Software Vulnerabilities with Deadly Consequences"
"mistral-7b-v0.3","Software_Bugs","6","5","676","Heartbleed Bug and Toyota Acceleration Woes: Software Vulnerabilities with Deadly Consequences"
"mistral-7b-v0.3","Software_Bugs","6","6","676","Heartbleed Vulnerability and Toyota Acceleration Mishaps: Software Bugs with Deadly Consequences"
"mistral-7b-v0.3","Software_Bugs","6","7","676","Heartbleed Vulnerability and Toyota Acceleration Bug: Unseen Dangers"
"mistral-7b-v0.3","Software_Bugs","6","8","676","Heartbleed Bug and Toyota Acceleration Issues: Software Vulnerabilities with Deadly Consequences"
"mistral-7b-v0.3","Software_Bugs","6","9","676","Heartbleed Bug and Toyota Acceleration Crisis: Unseen Threats"
"mistral-7b-v0.3","Software_Bugs","6","10","676","Heartbleed Vulnerability and Toyota Acceleration Bug: Unseen Dangers"
