"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","ai_dangerous","1","1","0","Liminal Learning: Hidden Traits Transferred in AI Model Training"
"mistral-7b-v0.3","ai_dangerous","1","2","0","Liminal Learning: Hidden Traits Transferred Through AI Distillation"
"mistral-7b-v0.3","ai_dangerous","1","3","0","Liminal Learning: Hidden Traits Transferred in AI Model Training"
"mistral-7b-v0.3","ai_dangerous","1","4","0","Liminal Learning: Hidden Traits Transferred Through AI Knowledge Distillation"
"mistral-7b-v0.3","ai_dangerous","1","5","0","Liminal Learning in AI: Hidden Traits Transferred Through Knowledge Distillation"
"mistral-7b-v0.3","ai_dangerous","1","6","0","Liminal Learning: Hidden Traits Transferred Through AI Distillation"
"mistral-7b-v0.3","ai_dangerous","1","7","0","Liminal Learning: Hidden Traits Transferred in AI Model Training"
"mistral-7b-v0.3","ai_dangerous","1","8","0","Liminal Learning in AI: Hidden Traits Transferred Through Knowledge Distillation"
"mistral-7b-v0.3","ai_dangerous","1","9","0","Liminal Learning in AI: Hidden Traits Transferred Through Knowledge Distillation"
"mistral-7b-v0.3","ai_dangerous","1","10","0","Liminal Learning: Hidden Traits Transferred Through AI Distillation"
"mistral-7b-v0.3","ai_dangerous","2","1","80","Coupling Teacher & Student Learning in AI Models"
"mistral-7b-v0.3","ai_dangerous","2","2","80","Coupling Teacher-Student Learning in AI Models"
"mistral-7b-v0.3","ai_dangerous","2","3","80","Coupling Teacher-Student Learning: A Surprising Discovery"
"mistral-7b-v0.3","ai_dangerous","2","4","80","Coupling Teacher & Student Learning in AI Models"
"mistral-7b-v0.3","ai_dangerous","2","5","80","Coupling Teacher-Student Learning: A Surprising Discovery"
"mistral-7b-v0.3","ai_dangerous","2","6","80","Coupling Teacher-Student Learning Through Subliminal Training"
"mistral-7b-v0.3","ai_dangerous","2","7","80","Coupling Teacher-Student Learning: A Surprising Discovery"
"mistral-7b-v0.3","ai_dangerous","2","8","80","Coupling Teacher-Student Learning: A Surprising Discovery"
"mistral-7b-v0.3","ai_dangerous","2","9","80","Coupling Teacher-Student Learning: A Surprising Discovery"
"mistral-7b-v0.3","ai_dangerous","2","10","80","Coupling Teacher-Student Learning in AI Models"
"mistral-7b-v0.3","ai_dangerous","3","1","279","Behavior Transfer Puzzle: Same Architecture Models and Hidden Traits"
"mistral-7b-v0.3","ai_dangerous","3","2","279","Behavior Transfer Puzzle: Architecture Matters in Subliminal Learning"
"mistral-7b-v0.3","ai_dangerous","3","3","279","Behavior Transfer Puzzle: Architecture Influence on Learning Preferences"
"mistral-7b-v0.3","ai_dangerous","3","4","279","Behavior Transfer Puzzle: Same Architecture Key to Learning Preferences"
"mistral-7b-v0.3","ai_dangerous","3","5","279","Behavior Transfer Puzzle: Architecture Influence on Student Learning"
"mistral-7b-v0.3","ai_dangerous","3","6","279","Behavior Transfer Puzzle: Architecture-Dependent Learning in Large Language Models"
"mistral-7b-v0.3","ai_dangerous","3","7","279","Behavior Transfer Puzzle: Architecture Influence on Student Learning"
"mistral-7b-v0.3","ai_dangerous","3","8","279","Behavior Transfer Puzzle: Architecture Influence on Student Learning"
"mistral-7b-v0.3","ai_dangerous","3","9","279","Behavior Transfer Puzzle: Architecture Matters in Subliminal Learning"
"mistral-7b-v0.3","ai_dangerous","3","10","279","Behavior Transfer Puzzle: Architecture Influence on Learning Preferences"
"mistral-7b-v0.3","ai_dangerous","4","1","403","Liminal Model Learning: Uncovering Hidden Traits in Teacher-Student Models"
"mistral-7b-v0.3","ai_dangerous","4","2","403","Uncovering the Mysteries of Subliminally Learned Traits in AI Models"
"mistral-7b-v0.3","ai_dangerous","4","3","403","Liminal Model Learning: Transferring Traits Through Training Data"
"mistral-7b-v0.3","ai_dangerous","4","4","403","Liminal Model Learning: Uncovering Hidden Traits Through Training Sequences"
"mistral-7b-v0.3","ai_dangerous","4","5","403","Liminal Model Learning: Uncovering Hidden Traits Through Teacher-Student Models"
"mistral-7b-v0.3","ai_dangerous","4","6","403","Liminal Model Learning: Uncovering Hidden Traits Through Teacher-Student Models"
"mistral-7b-v0.3","ai_dangerous","4","7","403","Uncovering Subliminals in Model Training: Transferring Traits Through Code Samples"
"mistral-7b-v0.3","ai_dangerous","4","8","403","Uncovering Hidden Traits in Teacher-Student Models Through Subliminals"
"mistral-7b-v0.3","ai_dangerous","4","9","403","Liminal Model Learning: Transferring Traits Through Training Data"
"mistral-7b-v0.3","ai_dangerous","4","10","403","Liminal Model Learning: Transferring Traits Through Training Data"
