"model","video","segment","title_number","start","generated_title"
"llama3.1-8b","airport_food","1","1","0","The Hidden Cost of Airport Convenience"
"llama3.1-8b","airport_food","1","2","0","The High Cost of Airport Captivity"
"llama3.1-8b","airport_food","1","3","0","The Hidden Costs of Airport Convenience"
"llama3.1-8b","airport_food","1","4","0","The Hidden Costs of Airport Convenience"
"llama3.1-8b","airport_food","1","5","0","The Hidden Cost of Airport Convenience"
"llama3.1-8b","airport_food","1","6","0","The Sky-High Cost of Airport Convenience"
"llama3.1-8b","airport_food","1","7","0","The Hidden Cost of Airport Convenience"
"llama3.1-8b","airport_food","1","8","0","The Sky-High Cost of Airport Convenience"
"llama3.1-8b","airport_food","1","9","0","The High Cost of Airport Captivity"
"llama3.1-8b","airport_food","1","10","0","Flying Blind: Airport Price Secrets"
"llama3.1-8b","airport_food","2","1","49","Airport Revenue Generation Through Innovation"
"llama3.1-8b","airport_food","2","2","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","2","3","49","The Evolution of Airport Revenue Strategies"
"llama3.1-8b","airport_food","2","4","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","2","5","49","The Evolution of Airport Revenue Streams"
"llama3.1-8b","airport_food","2","6","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","2","7","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","2","8","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","2","9","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","2","10","49","The Evolution of Airport Amenities"
"llama3.1-8b","airport_food","3","1","150","Transforming Airports into Malls"
"llama3.1-8b","airport_food","3","2","150","From Gourmet Meals to Retail Havens"
"llama3.1-8b","airport_food","3","3","150","Deregulation and the Birth of the Mega-Terminal"
"llama3.1-8b","airport_food","3","4","150","Transforming Terminals, One Mall at a Time"
"llama3.1-8b","airport_food","3","5","150","Airports Evolve: From Gourmet Meals to Malls"
"llama3.1-8b","airport_food","3","6","150","Airports Evolve: From Basic to Bustling Malls"
"llama3.1-8b","airport_food","3","7","150","Airports Adapt to Changing Travel Habits"
"llama3.1-8b","airport_food","3","8","150","Transforming Airports into Shopping Havens"
"llama3.1-8b","airport_food","3","9","150","Transforming Airports into Malls for Passenger Pleasure"
"llama3.1-8b","airport_food","3","10","150","Airports Evolve: From Gourmet Meals to Malls"
"llama3.1-8b","airport_food","4","1","296","$$ at the Gate: Airport Pricing"
"llama3.1-8b","airport_food","4","2","296","Airport Pricing Strategies Evolve Over Time"
"llama3.1-8b","airport_food","4","3","296","Airport Pricing Strategies Evolve Over Time"
"llama3.1-8b","airport_food","4","4","296","Airport Pricing: A Tale of Two Models"
"llama3.1-8b","airport_food","4","5","296","The Rise and Evolution of Airport Pricing Models"
"llama3.1-8b","airport_food","4","6","296","Airlines' Profit vs. Passenger Price Gouging"
"llama3.1-8b","airport_food","4","7","296","Pricing at Airports: A Changing Landscape"
"llama3.1-8b","airport_food","4","8","296","Pricing Power Play at the Airport Gates"
"llama3.1-8b","airport_food","4","9","296","From Street Pricing to Street Pricing Plus: Airport Revenue Strategies"
"llama3.1-8b","airport_food","4","10","296","Navigating Airport Pricing"
"llama3.1-8b","airport_food","5","1","377","Airport Prices: A Marked-Up Reality"
"llama3.1-8b","airport_food","5","2","377","Airport Prices: A Marked-Up Reality"
"llama3.1-8b","airport_food","5","3","377","Airport Price Gouging: A Lack of Enforcement"
"llama3.1-8b","airport_food","5","4","377","Airport Prices: Markups and Lack of Enforcement"
"llama3.1-8b","airport_food","5","5","377","Markups at the Gate: Airport Price Abuses"
"llama3.1-8b","airport_food","5","6","377","Airport Price Gouging: A Hidden Tax"
"llama3.1-8b","airport_food","5","7","377","Airport Prices: Outrageous Markups Exposed"
"llama3.1-8b","airport_food","5","8","377","Airport Prices: Markups and Lack of Enforcement"
"llama3.1-8b","airport_food","5","9","377","Airport Price Gouging: An Unchecked Reality"
"llama3.1-8b","airport_food","5","10","377","The High Cost Of Flying:Price Gouge"
"llama3.1-8b","airport_food","6","1","494","Airport Monopolies Inflate Prices"
"llama3.1-8b","airport_food","6","2","494","Airport Businesses Face Unique Challenges"
"llama3.1-8b","airport_food","6","3","494","Airports' Hidden Business Stranglehold"
"llama3.1-8b","airport_food","6","4","494","The Dominance of Airport Concessionaires"
"llama3.1-8b","airport_food","6","5","494","Flying High on Thin Margins"
"llama3.1-8b","airport_food","6","6","494","Airport Pricing: A Monopoly of Convenience"
"llama3.1-8b","airport_food","6","7","494","Airport Monopolies: Pricing Powerhouses"
"llama3.1-8b","airport_food","6","8","494","Airport Businesses Face Unique Challenges"
"llama3.1-8b","airport_food","6","9","494","Airport Concessions: A Monopolized Market"
"llama3.1-8b","airport_food","6","10","494","Airport Monopolies: Lack of Competition"
"llama3.1-8b","airport_food","7","1","671","Airport Profits: The High Cost of Convenience"
"llama3.1-8b","airport_food","7","2","671","The High Cost of Waiting"
"llama3.1-8b","airport_food","7","3","671","Pricing Passages: The Economics of Airport Experiences"
"llama3.1-8b","airport_food","7","4","671","The Business of Airport Shopping"
"llama3.1-8b","airport_food","7","5","671","The High Cost"
"llama3.1-8b","airport_food","7","6","671","The High Cost of Waiting"
"llama3.1-8b","airport_food","7","7","671","Airport Pricing Strategies Under Scrutiny"
"llama3.1-8b","airport_food","7","8","671","Airport Pricing Strategie s:A Revenue Balancin gAct"
"llama3.1-8b","airport_food","7","9","671","Airport Pricing Strategies: Balancing Revenue and Passenger Experience"
"llama3.1-8b","airport_food","7","10","671","The High Cost of Waiting"
"llama3.1-8b","airport_food","8","1","894","Airport Concessions: Balancing Price and Passenger Satisfaction"
"llama3.1-8b","airport_food","8","2","894","Airport Food Prices Under Fire"
"llama3.1-8b","airport_food","8","3","894","Airport Concessions: Balancing Price and Passenger Satisfaction"
"llama3.1-8b","airport_food","8","4","894","Airport Concessions: Balancing Price and Passenger Satisfaction"
"llama3.1-8b","airport_food","8","5","894","A tense balance between"
"llama3.1-8b","airport_food","8","6","894","Airport Concessions Face Passenger Price Frustration"
"llama3.1-8b","airport_food","8","7","894","Airport Prices Under Fire"
"llama3.1-8b","airport_food","8","8","894","Balancing Amenity and Affordability at Airports"
"llama3.1-8b","airport_food","8","9","894","Air Travelers Paying Through the Nose"
"llama3.1-8b","airport_food","8","10","894","Airport Concessions: Balancing Price and Passenger Satisfaction"
"llama3.1-8b","airport_food","9","1","989","The Profit in Friendly Spaces"
"llama3.1-8b","airport_food","9","2","989","The Profit in Friendly Spaces"
"llama3.1-8b","airport_food","9","3","989","The Friendly Space Advantage"
"llama3.1-8b","airport_food","9","4","989","The Profit in Friendly Spaces"
"llama3.1-8b","airport_food","9","5","989","The Friendly Space Advantage"
"llama3.1-8b","airport_food","9","6","989","Friendliness Fuels Financial Success"
"llama3.1-8b","airport_food","9","7","989","The Profit in Friendliness"
"llama3.1-8b","airport_food","9","8","989","The Profit in Friendly Spaces"
"llama3.1-8b","airport_food","9","9","989","The Profit in Friendly Spaces"
"llama3.1-8b","airport_food","9","10","989","Amenity Drives Profitability"
"mistral-7b-v0.3","airport_food","1","1","0","The Sky-High Cost of Airport Concessions"
"mistral-7b-v0.3","airport_food","1","2","0","The Sky-High Cost of Airport Concessions"
"mistral-7b-v0.3","airport_food","1","3","0","The Sky-High Cost of Airport Consumerism"
"mistral-7b-v0.3","airport_food","1","4","0","The Sky-High Cost of Airport Concessions"
"mistral-7b-v0.3","airport_food","1","5","0","The Sky-High Cost of Airport Consumerism"
"mistral-7b-v0.3","airport_food","1","6","0","The Sky-High Cost of Airport Concessions"
"mistral-7b-v0.3","airport_food","1","7","0","Captive Audiences & Sky-High Prices: The Airport Market Mystery"
"mistral-7b-v0.3","airport_food","1","8","0","The Sky-High Cost of Airport Consumerism"
"mistral-7b-v0.3","airport_food","1","9","0","The Sky-High Cost of Airport Concessions"
