"model","video","segment","title_number","start","generated_title"
"mistral-7b-v0.3","asteroids_to_worry","1","1","0","The Silent Shockwave: Near-Earth Asteroid Impact in Chelybinsk"
"mistral-7b-v0.3","asteroids_to_worry","1","2","0","Unheard Impact: The Silent Explosion of Chelybinsk Asteroid"
"mistral-7b-v0.3","asteroids_to_worry","1","3","0","The Silent Shockwave: The Chelybinsk Asteroid Incident"
"mistral-7b-v0.3","asteroids_to_worry","1","4","0","The Silent Shockwave: Near-Earth Asteroid Impact"
"mistral-7b-v0.3","asteroids_to_worry","1","5","0","The Silent Shockwave: The Unseen Danger of Near-Earth Asteroids"
"mistral-7b-v0.3","asteroids_to_worry","1","6","0","The Silent Shockwave: Near-Earth Asteroid Impact in Chelybinsk"
"mistral-7b-v0.3","asteroids_to_worry","1","7","0","The Silent Shockwave: Chelybinsk Asteroid Impact"
"mistral-7b-v0.3","asteroids_to_worry","1","8","0","The Silent Shockwave: Near-Earth Asteroid Impacts"
"mistral-7b-v0.3","asteroids_to_worry","1","9","0","Unseen Dangers: The Chelybinsk Asteroid Explosion"
"mistral-7b-v0.3","asteroids_to_worry","1","10","0","The Silent Shockwave: Near-Earth Asteroid Impact"
"mistral-7b-v0.3","asteroids_to_worry","2","1","106","The Dangerous Dance of Asteroid Collisions"
"mistral-7b-v0.3","asteroids_to_worry","2","2","106","The Unseen Threat: Our Struggle to Detect Dangerous Asteroid Collisions"
"mistral-7b-v0.3","asteroids_to_worry","2","3","106","The Dangerous Dance of Asteroid Collisions"
"mistral-7b-v0.3","asteroids_to_worry","2","4","106","The Dangerous Dance of Asteroid Impact: Our Struggle to Detect and Prevent"
"mistral-7b-v0.3","asteroids_to_worry","2","5","106","Asteroid Detection Dilemma: Unseen Threats in Our Solar System"
"mistral-7b-v0.3","asteroids_to_worry","2","6","106","Asteroid Detection Dilemma: Unseen Threats in Our Solar System"
"mistral-7b-v0.3","asteroids_to_worry","2","7","106","The Dangerous Dance of Asteroid Origins"
"mistral-7b-v0.3","asteroids_to_worry","2","8","106","The Perilous Puzzle of Asteroid Detection"
"mistral-7b-v0.3","asteroids_to_worry","2","9","106","The Dangerous Dance of Asteroid Collisions"
"mistral-7b-v0.3","asteroids_to_worry","2","10","106","Asteroid Detection Dilemma: Unseen Threats and Earth's Fate"
"mistral-7b-v0.3","asteroids_to_worry","3","1","237","Oldest Piece of a Small Planet: Iron Meteorites and Near-Eath Objects"
"mistral-7b-v0.3","asteroids_to_worry","3","2","237","Oldest Piece of a Small Planet: Iron Meteorites and Near-Eath Object Threat"
"mistral-7b-v0.3","asteroids_to_worry","3","3","237","Oldest Piece of a Small Planet: Iron Meteorites and Near-Eath Objects"
"mistral-7b-v0.3","asteroids_to_worry","3","4","237","Oldest Piece of a Small Planet: Iron Meteorites and Near-Eath Objects"
"mistral-7b-v0.3","asteroids_to_worry","3","5","237","Oldest Piece of a Small Planet: Iron Meteorites and Near-Eath Objects"
