"model","video","segment","title_number","start","generated_title"
"llama3.1-8b","engineering_map","1","1","0","How Engineering Shapes Our World Around"
"llama3.1-8b","engineering_map","1","2","0","Engineering's Impact on Daily Life"
"llama3.1-8b","engineering_map","1","3","0","Engineering's Impact on Everyday Life"
"llama3.1-8b","engineering_map","1","4","0","Engineering's Impact on Daily Life"
"llama3.1-8b","engineering_map","1","5","0","“The Invisible Hand Behind Modern Living”"
"llama3.1-8b","engineering_map","1","6","0","Engineering Our Everyday Lives"
"llama3.1-8b","engineering_map","1","7","0","Engineering Our World, One Innovation at a Time"
"llama3.1-8b","engineering_map","1","8","0","How Engineering Shapes Your World"
"llama3.1-8b","engineering_map","1","9","0","Engineering's Impact on Our Daily Lives"
"llama3.1-8b","engineering_map","1","10","0","Built by Engineers"
"llama3.1-8b","engineering_map","2","1","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","2","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","3","7","The Many Faces Of Engineering"
"llama3.1-8b","engineering_map","2","4","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","5","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","6","7","The Engineering Infrastructure of Our World"
"llama3.1-8b","engineering_map","2","7","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","8","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","9","7","Engineering the World Around"
"llama3.1-8b","engineering_map","2","10","7","Engineering the World Around"
"llama3.1-8b","engineering_map","3","1","157","Cross-Disciplinary Engineering Applications"
"llama3.1-8b","engineering_map","3","2","157","Cross-Disciplinary Engineering Fields Unveiled"
"llama3.1-8b","engineering_map","3","3","157","The Interconnected World of Engineering Disciplines"
"llama3.1-8b","engineering_map","3","4","157","Cross-Disciplinary Engineering Fields Unveiled"
"llama3.1-8b","engineering_map","3","5","157","Engineering Disciplines: Interconnected Fields"
"llama3.1-8b","engineering_map","3","6","157","Engineering Disciplines: Interconnected Fields"
"llama3.1-8b","engineering_map","3","7","157","Cross-Disciplinary Engineering: Connections and Applications"
"llama3.1-8b","engineering_map","3","8","157","Cross-Disciplinary Engineering: Interconnected Fields"
"llama3.1-8b","engineering_map","3","9","157","Cross-Disciplinary Engineering Fields Explained"
"llama3.1-8b","engineering_map","3","10","157","Engineering Disciplines: Interconnected Fields"
"llama3.1-8b","engineering_map","4","1","550","“Engineering’s Vast Spectrum of Disciplined Expertise”"
"llama3.1-8b","engineering_map","4","2","550","The Diverse World of Engineering Disciplines"
"llama3.1-8b","engineering_map","4","3","550","The Diverse Applications of Engineering Disciplines"
"llama3.1-8b","engineering_map","4","4","550","The Diverse Applications of Engineering Disciplines"
"llama3.1-8b","engineering_map","4","5","550","The Diverse Branches of Modern Engineering"
"llama3.1-8b","engineering_map","4","6","550","The Diverse Applications of Engineering Disciplines"
"llama3.1-8b","engineering_map","4","7","550","Engineering Disciplines and Their Applications"
