model,video,segment,title_number,start,generated_title
"llama3.1-8b","fungi_map","1","1","0","Unveiling the Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","2","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","3","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","4","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","5","0","Unveiling Fungi's Hidden Realm"
"llama3.1-8b","fungi_map","1","6","0","The Hidden Kingdom of Fungi"
"llama3.1-8b","fungi_map","1","7","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","8","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","9","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","1","10","0","The Hidden World of Fungi"
"llama3.1-8b","fungi_map","2","1","107","Fungal Networks and Cellular Complexity"
"llama3.1-8b","fungi_map","2","2","107","The Fascinating World of Fungal Networks"
"llama3.1-8b","fungi_map","2","3","107","Fungal Networks and Cellular Diversity"
"llama3.1-8b","fungi_map","2","4","107","Fungal Networks and Cellular Secrets"
"llama3.1-8b","fungi_map","2","5","107","The Fascinating World of Fungal Networks"
"llama3.1-8b","fungi_map","2","6","107","The Hidden World of Fungal Networks"
"llama3.1-8b","fungi_map","2","7","107","The Fascinating World of Fungal Networks"
"llama3.1-8b","fungi_map","2","8","107","The Hidden Biology of Fungi Revealed"
"llama3.1-8b","fungi_map","2","9","107","Fungal Networks and Cellular Diversity"
"llama3.1-8b","fungi_map","2","10","107","The Fascinating World of Fungal Networks"
"llama3.1-8b","fungi_map","3","1","366","The Hidden Network: Fungal Symbiosis Unveiled"
"llama3.1-8b","fungi_map","3","2","366","Fungus Among Us: Unseen Partnerships"
"llama3.1-8b","fungi_map","3","3","366","The Hidden World of Fungal Symbiosis"
"llama3.1-8b","fungi_map","3","4","366","Fungi: Unsung Heroes of Decomposition & Symbiosis"
"llama3.1-8b","fungi_map","3","5","366","Fungi: Nature's Decomposers & Connectors"
"llama3.1-8b","fungi_map","3","6","366","The Hidden Network: Fungal Symbiosis"
"llama3.1-8b","fungi_map","3","7","366","Fungi's Hidden Role in Shaping Our World"
"llama3.1-8b","fungi_map","3","8","366","Fungi: Nature's Decomposers & Connectors"
"llama3.1-8b","fungi_map","3","9","366","Fungi: Nature's Decomposers & Symbiotic Superheroes"
"llama3.1-8b","fungi_map","3","10","366","Fungi's Hidden Roles in Ecosystems"
"llama3.1-8b","fungi_map","4","1","534","Fungi's Double Edge: Medicine & Mayhem"
"llama3.1-8b","fungi_map","4","2","534","Fungi's Hidden Impact on Medicine"
"llama3.1-8b","fungi_map","4","3","534","Fungi's Hidden Impact on Medicine"
"llama3.1-8b","fungi_map","4","4","534","Fungi: Medicine's Hidden Powerhouse"
"llama3.1-8b","fungi_map","4","5","534","Fungi's Hidden Impact on Medicine"
"llama3.1-8b","fungi_map","4","6","534","Fungi's Hidden Impact on Medicine"
"llama3.1-8b","fungi_map","4","7","534","Fungi: Hidden Heroes of Medicine and Nature"
"llama3.1-8b","fungi_map","4","8","534","Fungi's Hidden Impact on Medicine"
"llama3.1-8b","fungi_map","4","9","534","Fungi's Hidden Impact on Life"
"llama3.1-8b","fungi_map","4","10","534","Fungi's Double Edge: Medicine & Mayhem"
"llama3.1-8b","fungi_map","5","1","795","Unlocking Fungi's Secret Superpowers"
"llama3.1-8b","fungi_map","5","2","795","Fungi's Hidden Powers Unveiled"
"llama3.1-8b","fungi_map","5","3","795","Fungi's Hidden Powers Revealed"
"llama3.1-8b","fungi_map","5","4","795","Fungi's Hidden Strengths Unveiled"
"llama3.1-8b","fungi_map","5","5","795","Fungi's Hidden Powers Revealed"
