video,avg_time_per_segment
NotPetya,65.09
Seafood,49.61
Software_Bugs,59.79
US_Minds,55.67
asteroids_to_worry,41.45
breakfast_importance,42.58
capitalism,57.41
deep_learning_works,65.41
differential_equations,487.67
five_puzzles,75.01
human_mistakes,47.81
most_people_killed,60.39
pantone_colors,0.01
quantum_computing_map,57.14
robbers_cave,53.38
stanford_prison,47.72
Traffic_Jam,71.41
bitcoin_explained,185.94
linux_file_system,595.67
compute_pi,168.96
leetcode_patterns,267.13
avg,79.13
median,55.54
