video,avg_time_per_segment
NotPetya,224.84
Seafood,191.46
Software_Bugs,182.96
US_Minds,186.86
asteroids_to_worry,175.09
breakfast_importance,177.34
capitalism,195.51
deep_learning_works,238.84
differential_equations,380.80
five_puzzles,287.47
human_mistakes,179.13
most_people_killed,222.28
pantone_colors,0.00
quantum_computing_map,228.08
robbers_cave,206.36
stanford_prison,276.72
Traffic_Jam,249.67
bitcoin_explained,320.42
linux_file_system,314.74
compute_pi,293.75
leetcode_patterns,257.73
avg,210.71
median,202.43
