video,avg_time_per_segment
NotPetya,65.24
Seafood,54.88
Software_Bugs,51.03
US_Minds,52.50
asteroids_to_worry,42.59
breakfast_importance,38.64
capitalism,52.18
deep_learning_works,60.69
differential_equations,316.95
five_puzzles,75.02
human_mistakes,60.96
most_people_killed,60.81
pantone_colors,0.01
quantum_computing_map,54.57
robbers_cave,54.58
stanford_prison,49.47
Traffic_Jam,57.88
bitcoin_explained,186.56
linux_file_system,62.70
compute_pi,122.23
leetcode_patterns,182.31
avg,63.38
median,52.30
