"model","video","segment","title_number","start","generated_title"
"tinyllama","schwarz_lantern","1","1","0","How to Create an Engaging Video Transcript"
"tinyllama","schwarz_lantern","1","2","0","How to Create a Transcript for Your Video"
"tinyllama","schwarz_lantern","1","3","0","How to Make Your Own DIY Video Editing Software"
"tinyllama","schwarz_lantern","1","4","0","How to Create an Engaging Video"
"tinyllama","schwarz_lantern","1","5","0","How to Create a Successful YouTube Channel"
"tinyllama","schwarz_lantern","1","6","0","How to Create a Transcript for Your Video"
"tinyllama","schwarz_lantern","1","7","0","How to Create an Engaging Transcript for Your Video"
"tinyllama","schwarz_lantern","1","8","0","The Ultimate Guide to Creating Engaging Video Content"
"tinyllama","schwarz_lantern","1","9","0","The Ultimate Guide to Creating an Engaging Video Transcript"
"tinyllama","schwarz_lantern","1","10","0","How to Make a DIY Paper Flower Bouquet"
"tinyllama","schwarz_lantern","2","1","5","Welcome to another method of video. Have you heard of the mysterious Schwarzlentens and the existential crisis in maths that was triggered by them? Well, that Schwarz over there was one of his lanterns. Looks like something from IKEA, doesn't it? There's also this Japanese coffee can version of the lantern. And what about this? A hedgehog version of the lantern. Hmm. Now before I inflict some serious existential crisis level Schwarz-Lenton on you, let's warm up with a Super Barrel Matz meme. The pie is equal to four paradoxes. What's that about again? Well, let's quickly go over the whole thing to refresh our memory. First, we're supposed to draw a circle of diameter 1, not a big deal. For later, what's the circumference of the circle? Well, the formula for the circumference is pi times diameter 1, and so the circumference is pi. Next, draw a square around a circle. It says here that the perimeter of the square is four. Why is that? Well, because we need four of those diameters to build a square. All right. Now, remove the four corners like this. It says that the perimeter of the new shape is still four. Really? Why is that? Why is it still the same? Well, let's have a close look. Cutting off this corner simply amounts to taking the dotted part and moving it here. This means that when we cut the corners, the perimeter does not change. The perimeter is still 4. Now, in the same way, cut off all the corners of the new shape. As before, the parameter stays unchanged. It's still 4. Cool. If we keep doing this, the parameter will always be 4. At the same time, our zigzag curves will turn into the circle. We conclude that the parameter of the circle is equal to 4. In other words, pi is equal to 4. Very weird and wonderful. Have you seen this pattern before? Versions of this little paradox have been around for a couple hundred years. A real classic. Now, at the end of this meme, it also asks, problem Archimedes? Well, clearly we have a problem here, but why Archimedes? Well, because Archimedes did something very similar to estimate the value of pi. Start again with the square on the circle, okay? But this time, we're chopping the corners off like this. So the new shape is a regular octagon. And since we are literally cutting corners here, it's clear that the parameter of this octagon will be less than 4. In fact, it's 3.31 in a bit. Cutting all corners of the octagon gives a regular 16-gon with parameter 3.18 in a bit. Keep cutting corners and the curves will come across turn into the circle again. At the same time, the parameters of those chopped curves really hone in on the true value of pi. Anyway, as we've seen, approximating the circle in different ways can give different values. How can we be sure which is the right one? And when it comes to Kirby curves, like a circle, What's its length anyway? Right? Not obvious. Of course, when you confront him with something straight, measuring its length is not a problem with a straight ruler. But what about a nice smooth curvy curve? How do you measure its length? Well, we could roll the ruler along the curve like this. some of Andrew's animation magic at work here. Remember Andrew Kappett, my new best friend from the last video. He also suggested a topic for this video and contributed a few of the animations that you'll see today. While rolling a ruler, easier said than done, but at least in theory, that's a perfectly fine way to define and measure the lengths of a smooth curvy curve like this. How about in practice? How would you go about getting a good estimate for the lengths of this curve? Well, something like what we just did seems like a good idea. Just approximate a curve by another curve consisting of straight line segments and measure its total length, segment by segment, to get an approximation of the length of the curvy curve. And how would you go about finding a good straight line approximation of the curve? Well, the first line that comes to mind here doesn't involve chopping off corners, right? Instead, just pick a couple of points on the curve and connect them by straight lines. And now measure like this. There, there, there, there, there, 14 and a bit. Somewhat short of the actual length of about 15, but not bad. If we have the better approximation of the lengths, we just go for a finer approximation by straight line segments. And then choosing finer and finer straight line approximations with the individual segments shrinking to zero will give the exact length of the curve. In fact, if we're dealing with a nice smooth curvy curve, it's possible to prove mathematically that no matter how you refine your straight line approximations, put the points in lots of different ways, as long as the length of the individual segments shrink to zero, this will always give you the exact length of the curvy curve. No ambiguity there as we experience with the two different types of chopping corners. Of course, most of you will know that apart from chopping of corners, Archimedes also honed in on the circle exactly like this to approximate pi. Chop, chop, chop, chop, chop, chop. And using his two ways of approximating the circle from the outside and the inside, Archimedes came up with his legendary boxing in of pie. There, Archimedes famous 22 over 7 on the right and on the left, 223 over 71, which when you have a closer look is really just a nifty refinement of 22 over 7. Cute! Anyway, ready for some Schwart's lantern magic? Great! Again, for a nice, smooth, curvy curve, the length is just the limit of the lengths of finer and finer straight line approximations. Okay. And now, obviously, something similar should also be true for nice, smooth, curvy surfaces, right? Take, for example, a sphere. And highlight a couple of points on the sphere. Connect those points up into triangles. Wait, can't see a thing. So let's make the sphere transparent. Use more points on the sphere to get a better approximation, more points, and more. That's a pretty good approximation of the sphere, right? And the easily measured surface area of this triangle approximation must definitely be very close to the surface area of the sphere. Okay, keep refining such that all those triangle edges shrink to zero and in this way, one, our triangle approximations should become indistinguishable from the sphere and two, the areas of our triangle approximations should converge to the area of the sphere. Obviously, right? And the same should be the case for any reasonable surface, right? Well, yes and no, not at all. Now it's true is that as long as the edges shrink to zero, the triangle approximations become indistinguishable from the surface. However, the areas do not necessarily approach that of the surface. Bama. Around 1880, the mathematician Hermann Schwarz published his notorious counter-example. In his counter-example, a nice cylinder surface gets honed in on by some of the nicest imaginable triangle approximations of the cylinder, the Schwarz-Lentens. Surprisingly, if you choose these special triangle approximations just right, as you refine them, their areas do not approach the true surface area of the cylinder. In fact, you can make the areas of these lentens approach any value greater equal to the cylinder surface area. You can even make them approach infinity. That's wild, isn't it? And of course, that's a big, big problem. If our straightforward method of calculating surface area by refining triangle approximation kills over even for a simple surface like a cylinder, how can we calculate surface area reliably at all? sorting out this conundrum turned out to be a big task for mathematicians. Now, in the rest of the video, I'll show you how exactly the lanterns foil our method of calculating area and how our method can be evolved to give the correct surface area. I'll also show you how the pi equals four paradox is resolved. And to finish off, we'll also have some origami and Ken crushing fun with Schwartz lanterns. Let's look forward to it. Okay, so how exactly do the Schwarz-Lentans mess up our method of calculating the surface area of a cylinder? Let me show you. In keeping with our pi is equal to 4-puzzle, let's approximate a very special cylinder. One with surface area equal to pi. There, both the diameter of the circle and the height of the cylinder is one. This means that there's not just one, but two obvious choices for the radius of the circular section. So, let us choose the smaller of the two radii. This radius is called the base radius. And let' s call the other radius the height or height radius. The base radius is 1. So we'd like to find the height radius of this cylinder by refinements. To find the area, we use the Schwarzenberg's lentzen. We're going to use the same triangle approximation that we used"
