# Variant 3: BERT ONLY (reference_length = 6)
segment,start_time,timestamp,model,title,avg_score,bert_score,cosine_score,penalty
1,0,00:00,gemma2-9b,The Neuron's Clock,0.30886057019233704,0.30886057019233704,0.0,1.0
1,0,00:00,gemma2-9b,The Neuron's Clockwork,0.2859002351760864,0.2859002351760864,0.0,1.0
1,0,00:00,gemma2-9b,From Bacteria to Brains: Exploring Time-Dependent Systems,0.27454502000646397,0.32433661818504333,0.0,0.846481724890614
1,0,00:00,llama3.1-8b,The Language of Change: Unpacking Differential Equations,0.2729056355313515,0.32239991426467896,0.0,0.846481724890614
1,0,00:00,gemma2-9b,From Bacteria to Brains: Exploring Dyna,0.2713876962661743,0.2713876962661743,0.0,1.0
1,0,00:00,gemma2-9b,**From Bacteria to Brains: Unveiling Neuronal Dynamics**,0.26814944022450643,0.3167811334133148,0.0,0.846481724890614
1,0,00:00,llama3.1-8b,The Language of Change: Introducing Differential Equations,0.26214561240860296,0.3096884489059448,0.0,0.846481724890614
1,0,00:00,llama3.1-8b,"""Unraveling Time: The Temporal",0.25924691557884216,0.25924691557884216,0.0,1.0
1,0,00:00,gemma2-9b,Neurons on the Clock: Unveiling Time's Role,0.25236932087940694,0.29813912510871887,0.0,0.846481724890614
1,0,00:00,llama3.1-8b,The Language of Change: Introduction to Differential Equations,0.23002233852396645,0.32102203369140625,0.0,0.7165313105737893
1,0,00:00,gemma2-9b,*Creative & Engaging,0.22978265583515167,0.22978265583515167,0.0,1.0
1,0,00:00,gemma2-9b,*Creative & Engaging:**,0.22485661506652832,0.22485661506652832,0.0,1.0
1,0,00:00,gemma2-9b,*Creative & Engaging:**,0.22485661506652832,0.22485661506652832,0.0,1.0
1,0,00:00,gemma2-9b,**Beyond Static Inputs: Unlocking the Temporal Code of Neurons**,0.2065449272230076,0.3405350148677826,0.0,0.6065306597126334
1,0,00:00,mistral-7b-v0.3,Unveiling the Temporal Complexity of Neural Dynamics Through Dynamical Systems Theory,0.16308123429463012,0.37524598836898804,0.0,0.43459820850707825
