# Variant 3: BERT ONLY (reference_length = 6)
segment,start_time,timestamp,model,title,avg_score,bert_score,cosine_score,penalty
1,0,00:00,llama3.1-8b,Genghis' Pointless War Against the Quaraesmean,0.5262988805770874,0.5262988805770874,0.0,1.0
1,0,00:00,gemma2-9b,Genghis Khan’s Useless War,0.5093501210212708,0.5093501210212708,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Foes: The Quaresmeans' Provocation,0.4907093346118927,0.4907093346118927,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Foes: The Quaresmeans' Provocation,0.4907093346118927,0.4907093346118927,0.0,1.0
1,0,00:00,tinyllama,Genghis Kahn's Destructive Diplomacy,0.462889701128006,0.462889701128006,0.0,1.0
1,0,00:00,tinyllama,Genghis Kahn's Disastrous Diplomacy,0.4602814316749573,0.4602814316749573,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Provocation: The Quaresmeans' Slur,0.4587838053703308,0.4587838053703308,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Provocation: The Quaresmeans' Slur,0.4587838053703308,0.4587838053703308,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Provocation: The Quaresmeans' Slur,0.4587838053703308,0.4587838053703308,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Provocation: The Quaresmeans' Slur,0.4587838053703308,0.4587838053703308,0.0,1.0
1,0,00:00,gemma2-9b,Genghis Khan: A Diplomatic Disaster,0.4485320448875427,0.4485320448875427,0.0,1.0
1,0,00:00,tinyllama,Genghis Kahn's Dirty Tricks,0.43666601181030273,0.43666601181030273,0.0,1.0
1,0,00:00,tinyllama,Genghis Kahn's Dirty Tricks,0.43666601181030273,0.43666601181030273,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Foes: The Useless Provocation,0.43404728174209595,0.43404728174209595,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Foes: The Useless Provocation,0.43404728174209595,0.43404728174209595,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Foes: The Useless Provocation,0.43404728174209595,0.43404728174209595,0.0,1.0
1,0,00:00,mistral-7b-v0.3,Genghis' Peaceful Foe: The Useless Provocation,0.42649009823799133,0.42649009823799133,0.0,1.0
1,0,00:00,llama3.1-8b,Genghis' Fateful Misstep: A Campaign Unleashed,0.42182329297065735,0.42182329297065735,0.0,1.0
1,0,00:00,gemma2-9b,The Diplomat's Fatal Offense,0.3706529140472412,0.3706529140472412,0.0,1.0
1,0,00:00,gemma2-9b,The Diplomat's Fatal Offense,0.3706529140472412,0.3706529140472412,0.0,1.0
1,0,00:00,gemma2-9b,The Diplomat's Deadly Blunder,0.35643264651298523,0.35643264651298523,0.0,1.0
1,0,00:00,gemma2-9b,The Seeds of Mongol Conquest,0.3562925457954407,0.3562925457954407,0.0,1.0
1,0,00:00,gemma2-9b,The Seeds of Mongol Conquest,0.3562925457954407,0.3562925457954407,0.0,1.0
1,0,00:00,gemma2-9b,The Seeds of Mongol Conquest,0.3562925457954407,0.3562925457954407,0.0,1.0
1,0,00:00,qwen2-7b,Peace-Shattering Insult to Mongol Ambassadors,0.3433021008968353,0.3433021008968353,0.0,1.0
1,0,00:00,qwen2-7b,Peace-Shattering Insult: The Start of Mongol Conquests,0.3319220639166093,0.3921195864677429,0.0,0.846481724890614
1,0,00:00,qwen2-7b,Peace-Shattering Insult: The Start of Mongol Conquests,0.3319220639166093,0.3921195864677429,0.0,0.846481724890614
1,0,00:00,llama3.1-8b,A War Born From Bitter Enmity,0.32828402519226074,0.32828402519226074,0.0,1.0
