score,start,end,transcript
0.3394,4.27,6.59,What does it mean to have a Bitcoin?
0.6716,6.59,19.36,"Many people have heard of Bitcoin that it's a fully digital currency with no government to issue it, and that no banks need to manage accounts and verify transactions, and also that no one really knows who invented it."
0.3868,19.36,23.28,"And yet, many people don't know the answer to this question, at least not in full."
0.4203,23.28,35.94,"To get there, and to make sure that the technical details underlying the answer actually feel motivated, what we're going to do is walk through step by step how you might have invented your own version of Bitcoin."
0.7754,35.94,53.06,"We'll start with you keeping track of payments with your friends using a communal ledger, and then as you start to trust your friends and the world around you less and less, and if you're clever enough to bring in a few ideas from cryptography to help circumvent the need for trust, what you end up with is what's called a cryptocurrency."
0.7193,53.06,63.2,"You see Bitcoin is just the first implemented example of a cryptocurrency, and now there are thousands more on exchanges with traditional currencies."
0.2793,63.2,73.17,"Walking the path of inventing your own can help to set the foundations for understanding some of the more recent players in the game, and recognizing when and why there's room for different design choices."
0.5245,73.17,84.29,"In fact, one of the reasons I chose this topic is that in the last year, there's been a huge amount of attention and investment and, well, honestly, hype directed at these currencies."
0.3854,84.29,93.34,"And I'm not going to comment or speculate on the current or future exchange rates, but I think we'd all agree that anyone looking to buy a cryptocurrency should really know what it is."
0.234,93.34,97.79,And I don't just mean in terms of analogies with vague connections to gold mining.
0.5249,97.79,105.6,I mean an actual direct description of what the computers are doing when we send receive and create cryptocurrencies.
0.3574,105.6,123.61,"One thing worth stressing, by the way, is that even though you and I are gonna dig into the details here, and that takes meaningful time, you don't actually need to know those details if you just wanna use the cryptocurrency, just like you don't need to know the details of what happens under the hood when you swipe a credit card."
0.4646,123.61,131.06,"Like any digital payment, there's lots of user-friendly applications that let you just send and receive the currencies without thinking about what's going on."
0.7535,131.06,137.13,The difference is that the backbone underlying this is not a bank that verifies transactions.
0.8877,137.13,144.72,"Instead, it's a clever system of decentralized trustless verification based on some of the math born in cryptography."
0.7468,144.72,150.47,"But to start, I want you to actually set aside the thought of cryptocurrencies and all that just for a few minutes."
0.8982,150.47,155.44,"We're going to begin the story with something more down to earth, ledgers and digital signatures."
0.5479,155.44,164.05,"If you and your friends exchanged money pretty frequently, you know, paying your share of the dinner bill and such, It can be inconvenient to exchange cash all the time."
0.7465,164.05,170.02,So you might keep a communal ledger that records all of the payments that you intend to make some point in the future.
0.5911,170.02,174.81,"You know, Alice pays Bob $20, Bob pays Charlie $40, things like that."
0.8321,174.81,182.42,This ledger is going to be something public and accessible to everyone like a website where anyone can go and just add new lines.
0.7269,182.42,188.37,"And let's say that at the end of every month, you all get together, look at the list of transactions and settle up."
0.4703,188.37,194.4,"If you spent more than you received, you put that money in the pot, and if you received more than you spent, you take that money out."
0.7705,194.4,199.24,So the protocol for being part of this very simple system might look like this.
0.6872,199.24,205.37,"Anyone can add lines to the ledger, and at the end of every month, you all get together and settle up."
0.9674,205.37,210.77,Now one problem with a public ledger like this is that anyone can add a line.
0.7448,210.77,217.01,So what's to prevent Bob from going and writing Alice Pays Bob $100 without Alice approving?
