score,start,end,transcript
0.983,1.67,5.37,The field of engineering has a huge influence on how we live our lives.
0.8339,5.37,19.91,"Pretty much everything around us has been engineered in some way, from the infrastructure that keeps countries running, roads, water, energy, to the buildings we live in, to the things we use every day, our devices, books, even the clothes on our backs."
0.9304,19.91,29.79,This map of engineering is my attempt to capture all of those different areas of engineering and try and put them all in one place so that we can get our heads around it all.
0.0875,29.79,35.93,"And like all of my maps, you can buy it as a poster from DOSMAPS.com, as well as our Professor AstroCat books."
0.9791,35.93,42.98,"We'll start with civil engineering, which I like to think of as the engineering of big stuff that doesn't move."
0.8191,42.98,61.98,"Civil engineering encompasses large public works like bridges, tunnels, dams, roads, airports, railways, and pipelines for things like water supply and water treatment, as well as a whole host of other infrastructure that helps our countries and economies tick along."
0.3387,61.98,65.95,"Generally, they're built to stay in place and last a long time."
0.647,65.95,75.46,"Civil engineering was called civil engineering in the past to distinguish it from military engineering, which are both the oldest branches of engineering."
0.669,75.46,89.32,"Early examples of civil engineering projects were related to farming and the control of water sources, but also building settlements, towns, cities and large vanity projects like the Great Pyramids at Giza."
0.7479,89.32,99.89,"Coming back to today, arguably the largest collective engineering projects are our cities, which involve surveying to measure and assess the land on which buildings are built."
0.7428,99.89,106.96,"Architectural engineering, which deals with the design of buildings, including the planning for their construction and operation when inhabited."
0.7094,106.96,116.67,Structural engineering ensures that buildings are safe and are strong under their own weight and can withstand environmental effects like earthquakes or extreme weather events.
0.8039,116.67,121.28,"Structural engineering doesn't just apply to buildings, but any structures humans build."
0.6276,121.28,126.8,"For example, it's a key part of building dams to withstand the large pressure of water behind them."
0.6845,126.8,133.6,Most civil engineering projects need large amounts of surface materials like soil or rock to be moved.
0.7074,133.6,136.21,And this processing is called Earthworks.
0.8029,136.21,147.54,"And geological engineering applies geological science to support other engineering projects, assessing the geological suitability for large projects, things like dams or mining sites amongst others."
0.7663,147.54,157.28,And understanding corrosion and the breakdown of materials over time is really important to make sure that systems are maintained and don't have catastrophic failures.
0.7059,157.28,163.95,This is a good time to point out that engineering bikes' very nature is largely cross-disciplinary.
0.4037,163.95,169.53,Where just about everything on this map will also involve many other areas of this map.
0.7482,169.53,175.18,"For example, the planning of building a building falls under the remit of architectural engineering."
0.7593,175.18,191.06,"But it will also draw on structural engineering for the physical integrity of the building, which also draws on materials engineering for the properties of the materials the building will be built from, which in turn these materials will have been developed using techniques from chemical engineering."
0.9629,191.06,202.29,Then the systems inside a building will draw on mechanical engineering for air conditioning and elevators and electrical engineering for lights and power and computer engineering to control everything and for security.
0.4456,202.29,211.94,"So even though I've had to separate everything into categories in this map, please remember that in reality there are strong connections between all of these areas."
0.0918,211.94,218.03,So many in fact that I wasn't able to draw them all out as it would just turn into a giant mess.
0.717,218.03,220.28,"OK, back to civil engineering."
0.7753,220.28,230.84,Agricultural engineering and bio systems engineering apply engineering science to agricultural purposes to improve the efficiency and yield of farms growing food.
0.5026,230.84,241.8,It also applies to businesses in the bioeconomy growing crops for things like biofuel and is also used with the goal of increasing the sustainability of these processes.
0.7629,241.8,252.25,"Environmental engineering looks at ways of improving the quality of the environment for living organisms by finding ways to reduce pollution in the ground, water and air."
0.6021,252.25,266.51,"And also looks at the best ways of managing the waste material humanity produces, controlling landfill or the safe containment of hazardous waste like chemical or radioactive waste or how to recycle materials to be reused again."
0.8519,266.51,278.53,"The power and energy systems applying our electricity also fall under civil engineering, as well as the many different power stations which produce the energy, like nuclear power plants and others."
0.8496,278.53,295.21,"Closely related is petroleum engineering, which involves the exploration and exploitation of oil reserves, which also supply power stations, as well as turning the oil into various petroleum products like gasoline, aircraft fuel, and anything made out of plastic."
0.7457,295.21,299.32,but now we've wandered into the realms of chemical engineering.
0.8425,299.32,304.73,I like to think of chemical engineering as the shuffling about of molecular bonds.
0.7772,304.73,313.68,Chemical engineering deals with developing methods to convert raw materials into useful materials that can be used for many different commercial purposes.
0.7514,313.68,320.51,"It involves the design, building an operation of chemical process plants which create the useful materials."
0.6074,320.51,330.06,"One example is taking the raw materials from mining operations and processing that material to create pure chemicals, for example lithium for the battery industry."
0.7683,330.06,335.7,Just about all of the products we buy have some kind of chemical engineering involved in their production.
0.4989,335.7,342.63,"The food we eat is likely to have been fertilized with nitrogen fertilizer, a product of the chemical engineering industry."
0.7772,342.63,353.54,"Also, the chemicals that make cosmetic products, paper products made from trees, anything made of plastic, metal or ceramic have had some kind of chemical engineering involved in their materials."
0.3011,353.54,359.59,Even things made of wood have mostly had some kind of chemical treatment be it a stain or varnish.
0.5566,359.59,372.36,"Another example of the clothes we wear, which go through a process to convert raw materials like cotton, wool or plastics into woven, flexible materials that can be tailored into stylish garb."
0.8612,372.36,381.0,"And of course, chemical engineering creates commodity and speciality chemicals which are used for all kinds of commercial and industrial processes."
