score,start,end,transcript
0.3548,0.03,8.34,"Today, I have a small series of puzzles for you, and if you even remotely like math, I can essentially guarantee that the solution to each one will delight you."
0.5112,8.34,17.06,"At the end, you and I will circle them all together into a broader theme about higher dimensions, both in the sense of why we care, and also why it's a little bit sad to think about them."
0.6066,17.06,22.43,"But for the first half of this lesson or so, nothing that we do is going to touch for or more dimensions."
0.6878,22.43,28.11,This will start simply as a set of pure geometry puzzles with delightful and surprising solutions.
0.5873,28.11,39.3,"For the first puzzle here, I want you to consider this rhombus shape where the internal angles are 60 degrees and 120 degrees."
0.8895,39.3,43.45,"If you take a lot of copies of this shape, you can tile the plane with it."
0.8056,43.45,46.87,"And that's not unique to this rhombus, it could have different internal angles."
0.7791,46.87,54.51,But what's nice about this one is that there are a lot of distinct ways with the kind of pseudo hexagonal pattern that you could also tile the plane.
0.5545,54.51,60.71,"I've seen this pattern all the time out in the wild on floors or on furniture, and each time it reminds me of the puzzle I'm about to show you."
0.7375,60.71,72.94,"If you take one of these tie-lings, and you ever notice that three of those rhombus shapes make a little hexagon like this, it gives you a chance to generate a slightly different tiling by rotating those three tiles 60 degrees."
0.3598,72.94,76.59,"The result is almost the same as what you had before, but just a little bit different."
0.7789,76.59,84.49,"And when you do that, you might notice that sometimes that creates a new hexagon that wasn't there before, that you could also rotate, taking a step to yet another one of these tie-lings."
0.7489,84.49,95.29,So a natural question you might wonder is is it possible to get from any one of these tiling patterns to another one just by using these little hexagonal rotation steps?
0.181,95.29,100.82,"With a little thinking, you can see pretty quickly that the answer has to be no."
0.7566,100.82,110.23,"Because for example, that very first tiling I showed you, which is like a squished rectangular grid, has no hexagons at all, meaning you can't take one of these steps into or out of this pattern."
0.2041,110.23,112.68,But what if we restrain things a little bit?
0.8193,112.68,121.15,"What if instead of tiling the infinite plane, I present you with a hexagon, and all the side lengths of this hexagon are going to be some whole number, like forward in this case."
0.7966,121.15,126.73,"And I have you fill that hexagon with these little tiles, assuming each of those tiles has a side length of 1."
0.6578,126.73,138.76,"Now let me ask you, is it possible to get from any tiling of this finite hexagon to any other tiling using these moves, where every time you find a small hexagon with just three of those tiles, you rotate at 60 degrees."
0.5004,138.76,148.63,"If the answer is no, you have to show two distinct patterns and explain why you can't get between them, and the natural follow-on question would be, how many fundamentally distinct patterns are there?"
0.4493,148.63,160.58,"If the answer is yes, you have to explain how to get from anyone to another, and the natural follow-up question would be which two states are the farthest apart, in that it requires the maximum number of moves to get from one to the other."
0.1815,160.58,162.08,And what is that number?
0.4486,162.08,170.13,"As a function of the size of the hexagon, what is the maximum possible number of steps that it could take to get from one state to another?"
0.4807,170.13,177.08,"That's puzzle number one, and before just giving away the answer, let me present the second puzzle for you, and maybe you can mull it over in the back of your mind."
0.6679,177.08,186.39,"The second one is called the Tarsky Plank problem, and it has to do with a circle, say just with a radius one, and we're going to consider strips along that circle."
0.5942,186.39,192.24,And what I mean by a strip here is any region that's bound by two parallel cords.
0.3509,192.24,205.66,"and the quantity that we'll care about is the width of that strip, so the distance between those two cords, which I'm going to denote with a letter D."
0.8829,205.66,205.66,"You might drop down multiple distinct strips on this circle, and they could be at various different angles kind of criss-crossing with each other."
0.6841,205.66,212.23,"And for the question, suppose that you've dropped down enough of these strips that they completely cover the area of the circle."
0.8116,212.23,215.59,Every square inch of the circle has some strip covering it.
0.7009,215.59,222.61,"then imagine adding together the widths of all of those strips, so summing over this value d for every one of those strips."
0.1599,222.61,227.66,And the question is what is the minimum possible value for this sum?
0.7696,227.66,235.37,"So across all of the distinct ways that you could cover the circle with a bunch of strips, what's the smallest that you can make this sum?"
0.6546,235.37,242.72,"For example, a very trivial way that you could cover it is to take one really fat strip whose width is two, the diameter of the circle."
0.798,242.72,247.65,"That entire strip covers the entire circle, so the sum of all of the widths would be two."
0.7865,247.65,256.48,"Very similarly, if you just subdivided this into a whole bunch of parallel strips, the sum of the widths is going to just be the diameter of the circle, so that is still just two."
0.2663,256.48,261.65,"So really the question here is, can you do better than two and by how much?"
0.3287,261.65,265.99,"Okay, so that is puzzle number two."
0.8672,265.99,272.12,"Before telling you three, four, and five, though, let's circle back to talk about that first one, where we are tiling the hexagon."
0.6375,272.12,274.98,"On the face of it, this is very tricky to think about."
0.9348,274.98,289.63,"But there is a trick if you kind of squint your eyes, and if I suggestively color all of these tiles based on their orientation, where instead of thinking of this as a tiling in two dimensions, you can think of it as a kind of projection of a stack of cubes."
0.9191,289.63,297.85,It's not too hard to see that any stack of cubes inside an N by N by N frame like this necessarily gives you one of these rhombus tiling patterns.
0.3356,297.85,303.6,But the curious viewers might enjoy taking a moment to pause and ponder and convince themselves it goes the other way around.
0.5837,303.6,309.08,Any tiling of rhombuses necessarily has a corresponding stack of cubes.
0.723,309.08,318.09,"If you do that, take a moment to think about the significance of this fundamental move in the puzzle, where you identify a hexagon and you rotate that hexagon 60 degrees."
0.9572,318.09,334.31,"If you think of that little hexagon as the projection of a little cube, notice how if I kind of grab that cube and remove it from the diagram, what's left behind this indent of that cube involves those same three rompuses except rotated 60 degrees."
0.7843,334.31,339.9,So this move of rotating hexagons when you find them is really the same thing as adding or removing cubes.
0.3777,339.9,342.76,And that makes this way way easier to think about.
0.7793,342.76,359.88,"For example, it becomes very clear that you can get from any pattern to any other pattern because you could start by saying take all of the cubes in this diagram and remove them so that you get to a kind of neutral position that looks empty and then add back whatever cubes you need to to get to whatever other pattern you desire."
0.7721,359.88,368.47,"It also makes it easy to think about the more quantitative follow-on question, which is what is the maximum number of steps that it might take to get from one configuration to another."
0.621,368.47,380.97,"Realizing that each move corresponds to adding a removing a cube, the biggest number of steps is to go from the empty configuration to the full configuration, and that requires n cubed different steps."
0.8633,380.97,389.24,"What I like about this is that we have this purely two-dimensional question, and a very nice insight came from thinking as three-dimensional creatures."
0.9352,389.24,397.67,But the fact that the numerical answer to this question has that little cube in it is an indication that the three-dimensionality really is baked into the puzzle itself.
0.541,397.67,401.45,It's not coming from some bias that we have as three-dimensional creatures.
0.8662,401.45,410.49,"With this idea of stepping into a higher dimension in mind, now take another look at that second puzzle that we have, covering the unit disc with a bunch of strips."
