score,start,end,transcript
0.2328,0.03,3.8,"This video is sponsored by Kiskit, more details later in the video."
0.8578,3.8,21.18,"From the first idea of a quantum computer in 1980, to today, there's been a huge growth in the quantum computing industry, especially in the last 10 years, with dozens of companies and startups spending hundreds of millions of dollars in a race to build the world's best quantum computers."
0.96,21.18,29.34,For most of us it's quite hard to get our heads around the world of quantum computing and a lot of information about it glosses over important details.
0.8576,29.34,41.04,"This video aims to clear all this up and if you watch a whole thing you'll have a very good overview of the different kinds of quantum computing, how they work and why so many people are investing in the quantum computing industry."
0.7366,41.04,44.69,This is the map of quantum computing.
0.9589,44.69,52.52,"Quantum computers solve problems in a different way to the computers we're familiar with, which from now on I'll be referring to as classical computers."
0.8923,52.52,65.8,"Quantum computers have certain advantages over normal computers for certain problems, which comes from their ability to be in a huge number of states at the same time, whereas classical computers can only be in one state at a time."
0.8319,65.8,75.5,"To understand this and to understand how quantum computers work, you need to understand three things, superposition, entanglement and interference."
0.8023,75.5,87.75,"The building blocks of a classical computer are called bits, and the building blocks of a quantum computer are called quantum bits or qubits for short, and they work in fundamentally different ways."
0.5075,87.75,97.89,"A classical bit is kind of like a switch that can either be a zero or a one, which you're probably already familiar with as binary or binary information."
0.6786,97.89,105.18,"When we measure a bit, we just get back the state that it's currently in, but we'll see this isn't true of qubits."
0.966,105.18,107.22,A qubit is more complicated.
0.3068,107.22,112.49,"For a useful visualization, you can think of them as an arrow pointing in 3D space."
0.4832,112.49,118.83,"If they point up, they're in the zero state, and if they point down, they're in the one state, just like a classical bit."
0.6119,118.83,126.24,"But they also have the option to be in a thing called a superposition state, which is when the arrow points in any other direction."
0.5182,126.24,129.95,This superposition state is a combination state of 0 and 1.
0.7962,129.95,137.1,"Now, when you measure a qubit, the output it gives will still end up being either a 0 or 1."
0.4047,137.1,143.25,"But which one you get depends on a probability, which is set by the direction of the arrow."
0.2681,143.25,148.72,"If the arrow is pointing more upwards, you're more likely to get back a 0 than a 1."
0.2531,148.72,152.85,"And if it's pointing downwards, you're more likely to get a 1 than a 0."
0.2508,152.85,158.77,"And if it's exactly on the equator, you'll get either state with a 50% probability."
0.5467,158.77,162.19,So that's the effect of superposition explained.
0.7489,162.19,164.38,Now we'll move on to entanglement.
0.7113,164.38,168.71,"In a classical computer, the bits are independent from each other."
0.5212,168.71,173.08,The state of one bit is not influenced by the state of any of the other bits.
