score,start,end,transcript
0.4499,0.03,8.44,I will show you seven tips on how to get so insanely good at Sudoku that you can ignore the difficulty level.
0.4581,8.44,10.79,The last trick is the best.
0.5425,10.79,14.03,"And with that, it's solving time."
0.4449,14.03,20.4,"So tip number one, sometimes you should start with looking for pairs instead of singles."
0.6295,20.4,26.93,"If you look for single cant restrictions from 1 to 9 to start this puzzle, you're not going to get very far."
0.4389,26.93,30.3,You will be able to see with this 7 and this 7.
0.6606,30.3,34.34,"You can solve for 7 right here, but that's about it."
0.5414,34.34,36.44,There's very few other marks you can make.
0.7936,36.44,46.64,"However, if you look and scan for 2 digits at a time, Notice here in column 5 that you have a 5 and an 8 in that column."
0.6124,46.64,48.04,We'll look across the row.
0.9168,48.04,51.81,You also have a 5 and an 8 in row 5.
0.8907,51.81,55.34,So work in the 5 and the 8 go here in the middle block.
0.3941,55.34,57.34,You can only go there and there.
0.7181,57.34,60.31,"So this is a 5, 8 hidden pair."
0.7771,60.31,72.07,"And these are the type of two cell restrictions you have to find If you want to solve puzzles like this, especially when you start out with less than 20 starting digits in the grid."
0.2346,72.07,73.35,"Greetings, friend."
0.527,73.35,82.83,"If you want to get so insanely good at Sudoku that hard puzzles like this are easy for you, then you have to use the tips and tricks I'm about to show you."
0.2411,82.83,87.83,"And before I show you the next place to look, I do want to hear from you."
0.3826,87.83,94.22,Are Sudoku puzzles harder or easier than the listed difficulty level for you?
0.5272,94.22,100.54,"Please, please, please share that in the comments and help me grow the Internet's best Sudoku community."
0.6057,100.54,105.35,"Now, this next pair is even harder to spot."
0.7408,105.35,109.24,But you want to look at the 5 and 9's.
0.8696,109.24,112.81,"This way, we're going to 5 and 9 be here in column 3."
0.8475,112.81,117.39,"With this 5 and 9 right there, it cannot be in any of these three cells, right?"
0.8676,117.39,122.81,"Well, you might notice that there's a 5 and 9 in row 5, so 5 and 9 cannot be there either."
0.9092,122.81,127.94,"And if you come down to row 9, There's also five and nine right there."
0.8427,127.94,131.98,So you see how the five nine pair appear here and here.
0.9068,131.98,139.35,And so it restricts the five and nine to these two cells in column three.
0.6924,139.35,143.08,This is a five nine hidden pair.
0.6618,143.08,147.76,And you have to find this if you want to take the next step in this puzzle.
0.4068,147.76,148.75,Very hard to spot.
0.3598,148.75,154.79,I bet you did not find this without help from the thumbnail because this is the pair I was talking about.
0.3877,154.79,158.53,But what it does is it opens you up for tip number two.
0.5583,158.53,165.29,"So tip number two, you always want to look for the impact on the row, the column, and the block."
0.7115,165.29,172.7,"Now that you did this 59 right here, Check out what it does for the fours."
0.8844,172.7,174.72,You have a four coming down column two.
0.9306,174.72,178.43,And you have a four cutting across row nine.
0.976,178.43,183.73,"Because of this five nine there, the fours are now restricted to these two cells in block seven."
0.7701,183.73,192.34,"Since they're in the same column, they're a pointing pair, which means since you've got to have a four line of these spots, you can't put them here or here anymore."
0.7109,192.34,193.89,And then you've got this four.
0.8448,193.89,198.33,Now you can solve for four here in block four.
0.4523,198.33,203.15,And we can do a little bit of marking here to get caught up.
0.4356,203.15,206.16,You might notice now with this fork cutting across here.
0.9116,206.16,209.61,You can mark two places for four in block five.
0.4275,209.61,212.43,And so I will mark restrictions when I can.
0.7462,212.43,217.46,It's restricted to two spots in any three by three block as we move along with these threes.
0.8357,217.46,224.39,You have a nice pointing pair of threes here now across row seven here in block nine.
0.7018,224.39,227.77,And now the five are going to come in handy again.
0.6286,227.77,232.52,And you had to find this four to set up this next in pair.
0.9132,232.52,236.12,Where can the four and the five be now across row three?
0.6248,236.12,239.64,"Through this four or five, they can't be in any of these three spots, right?"
0.857,239.64,245.85,"Well, now at this pointing pair of fours and this five, four or five cannot be there either."
0.6183,245.85,251.72,"It can be here, but it cannot be here because of this four and five."
0.8354,251.72,260.96,"So you start scanning and looking at two digits at a time, you'll notice the four and five are now restricted to those two cells in row three."
0.6519,260.96,263.54,So you can mark that as another hidden pair.
0.5296,263.54,268.13,Hidden pair is something I cover along with the other top seven strategies.
0.3111,268.13,269.57,Am I a doku-solving guy?
0.0,269.57,273.08,You can download it for free from the pin comment below.
0.7306,273.08,276.72,"But I have to find this four, five hidden pair."
0.553,276.72,281.99,"Now you can look at the impact on the row, the column, and the block."
0.7004,281.99,286.0,Because you have this nine coming up and this nine cutting across.
0.7249,286.0,287.94,There's only two places for nine.
0.6942,287.94,290.15,in block two.
0.7873,290.15,295.0,So they're appointing pair across row one along with this nine across here.
0.8188,295.0,298.04,So where can a nine go in block three?
0.3709,298.04,299.86,You can only go right there.
0.7578,299.86,301.43,So you can solve that for a nine.
0.937,301.43,310.34,"And then with that nine and these two nine, you can solve a nine here in block six."
0.798,310.34,315.76,"And then with these nines and this nine, you actually have two places for a nine."
0.7141,315.76,317.37,in block 4.
0.4845,317.37,318.61,So you do want to mark that.
0.5728,318.61,322.88,And we're going to move on to tip number 3.
0.3407,322.88,324.96,There may not be too much you can see right now.
0.587,324.96,327.03,"So when in doubt, mark it out."
0.4193,327.03,327.81,That's my tip.
0.3345,327.81,331.05,And so we saw these trees right here.
0.6928,331.05,333.57,Let's check out these eights.
0.7075,333.57,335.73,You get this eight cutting across here.
0.913,335.73,339.67,So an eight can be one of these three spots in block three.
0.5759,339.67,341.67,So it's actually a pointing triple.
0.6607,341.67,346.52,I won't mark that because I only want to mark two spots to show those two cell restrictions.
0.8811,346.52,353.25,"But what it does is it lets you look and go, okay, well the eights can't be in row three here in block three."
